ProductSN:3421198001
Date&Time,,ITHD(%),,,IHD2(%),,,IHD3(%),,,IHD4(%),,,IHD5(%),,,IHD6(%),,,IHD7(%),,,IHD8(%),,,IHD9(%),,,IHD10(%),,,IHD11(%),,,IHD12(%),,,IHD13(%),,,IHD14(%),,,IHD15(%),,,IHD16(%),,,IHD17(%),,,IHD18(%),,,IHD19(%),,,IHD20(%),,,IHD21(%),,,IHD22(%),,,IHD23(%),,,IHD24(%),,,IHD25(%),,,IHD26(%),,,IHD27(%),,,IHD28(%),,,IHD29(%),,,IHD30(%),,,IHD31(%),,,IHD32(%),,,IHD33(%),,,IHD34(%),,,IHD35(%),,,IHD36(%),,,IHD37(%),,,IHD38(%),,,IHD39(%),,,IHD40(%),,,IHD41(%),,,IHD42(%),,,IHD43(%),,,IHD44(%),,,IHD45(%),,,IHD46(%),,,IHD47(%),,,IHD48(%),,,IHD49(%),,,IHD50(%),,,IHD51(%),,,
Date,Time,ITHDA,ITHDB,ITHDC,IHD2A,IHD2B,IHD2C,IHD3A,IHD3B,IHD3C,IHD4A,IHD4B,IHD4C,IHD5A,IHD5B,IHD5C,IHD6A,IHD6B,IHD6C,IHD7A,IHD7B,IHD7C,IHD8A,IHD8B,IHD8C,IHD9A,IHD9B,IHD9C,IHD10A,IHD10B,IHD10C,IHD11A,IHD11B,IHD11C,IHD12A,IHD12B,IHD12C,IHD13A,IHD13B,IHD13C,IHD14A,IHD14B,IHD14C,IHD15A,IHD15B,IHD15C,IHD16A,IHD16B,IHD16C,IHD17A,IHD17B,IHD17C,IHD18A,IHD18B,IHD18C,IHD19A,IHD19B,IHD19C,IHD20A,IHD20B,IHD20C,IHD21A,IHD21B,IHD21C,IHD22A,IHD22BB,IHD22C,IHD23A,IHD23B,IHD23C,IHD24A,IHD24B,IHD24C,IHD25A,IHD25B,IHD25C,IHD26A,IHD26B,IHD26C,IHD27A,IHD27B,IHD27C,IHD28A,IHD28B,IHD28C,IHD29A,IHD29B,IHD29C,IHD30A,IHD30B,IHD30C,IHD31A,IHD31B,IHD31C,IHD32A,IHD32B,IHD32C,IHD33A,IHD33B,IHD33C,IHD34A,IHD34B,IHD34C,IHD35A,IHD35B,IHD35C,IHD36A,IHD36B,IHD36C,IHD37A,IHD37B,IHD37C,IHD38A,IHD38B,IHD38C,IHD39A,IHD39B,IHD39C,IHD40A,IHD40B,IHD40C,IHD41A,IHD41B,IHD41C,IHD42A,IHD42B,IHD42C,IHD43A,IHD43B,IHD43C,IHD44A,IHD44B,IHD44C,IHD45A,IHD45B,IHD45C,IHD46A,IHD46B,IHD46CIHD47A,IHD47B,IHD47C,IHD48A,IHD48B,IHD48C,IHD49A,IHD49B,IHD49C,IHD50A,IHD50B,IHD50C,IHD51A,IHD51B,IHD51C,
2022-03-28,00:00:00,4.400,5.558,4.217,0.274,0.500,0.362,2.170,4.268,2.894,0.120,0.148,0.180,3.518,3.017,2.489,0.062,0.020,0.037,1.245,1.636,1.501,0.088,0.031,0.078,0.317,0.448,0.177,0.070,0.047,0.043,0.363,0.495,0.595,0.077,0.055,0.048,0.222,0.079,0.307,0.058,0.021,0.040,0.042,0.071,0.200,0.047,0.022,0.038,0.037,0.144,0.164,0.153,0.148,0.126,0.267,0.224,0.237,0.070,0.040,0.028,0.139,0.072,0.060,0.033,0.043,0.023,0.073,0.048,0.052,0.046,0.035,0.070,0.123,0.099,0.089,0.107,0.078,0.016,0.178,0.149,0.138,0.190,0.032,0.173,0.240,0.096,0.245,0.121,0.018,0.102,0.122,0.030,0.093,0.052,0.017,0.042,0.060,0.060,0.036,0.017,0.018,0.015,0.032,0.017,0.022,0.006,0.011,0.010,0.058,0.022,0.048,0.011,0.004,0.014,0.016,0.011,0.038,0.020,0.020,0.012,0.041,0.006,0.047,0.003,0.007,0.009,0.018,0.017,0.030,0.004,0.006,0.010,0.025,0.001,0.023,0.008,0.011,0.010,0.012,0.010,0.030,0.011,0.010,0.019,0.023,0.009,0.029,0.017,0.009,0.008,0.007,0.014,0.022,
2022-03-28,00:01:00,4.374,5.409,4.337,0.437,1.159,1.296,2.213,4.207,2.840,0.183,0.196,0.115,3.456,2.647,2.495,0.010,0.027,0.037,1.235,1.603,1.451,0.029,0.099,0.106,0.272,0.480,0.220,0.030,0.045,0.020,0.311,0.433,0.496,0.017,0.033,0.026,0.234,0.129,0.288,0.008,0.037,0.025,0.069,0.136,0.216,0.031,0.081,0.047,0.126,0.044,0.199,0.126,0.146,0.112,0.256,0.172,0.226,0.065,0.023,0.032,0.074,0.047,0.110,0.110,0.059,0.101,0.098,0.126,0.128,0.023,0.052,0.058,0.126,0.020,0.143,0.093,0.102,0.066,0.244,0.120,0.102,0.194,0.022,0.143,0.164,0.100,0.214,0.122,0.042,0.080,0.084,0.055,0.107,0.018,0.027,0.035,0.091,0.039,0.059,0.017,0.015,0.022,0.017,0.017,0.027,0.015,0.016,0.021,0.038,0.003,0.045,0.006,0.015,0.010,0.007,0.009,0.045,0.015,0.022,0.022,0.016,0.006,0.012,0.009,0.010,0.014,0.015,0.014,0.019,0.007,0.006,0.013,0.018,0.006,0.020,0.003,0.009,0.004,0.015,0.011,0.034,0.024,0.011,0.018,0.012,0.006,0.030,0.002,0.002,0.003,0.009,0.007,0.013,
2022-03-28,00:02:00,4.384,5.353,4.606,0.236,0.725,0.772,2.346,3.963,2.987,0.074,0.081,0.036,3.383,2.996,2.906,0.031,0.048,0.069,1.282,1.625,1.539,0.076,0.024,0.079,0.174,0.573,0.230,0.036,0.068,0.059,0.342,0.567,0.576,0.056,0.058,0.042,0.202,0.146,0.286,0.021,0.073,0.049,0.078,0.073,0.147,0.037,0.060,0.040,0.094,0.054,0.264,0.141,0.145,0.147,0.205,0.142,0.166,0.062,0.060,0.020,0.102,0.044,0.092,0.097,0.055,0.100,0.090,0.084,0.089,0.082,0.082,0.013,0.096,0.027,0.154,0.072,0.087,0.040,0.200,0.127,0.067,0.188,0.016,0.165,0.329,0.074,0.360,0.166,0.014,0.142,0.123,0.034,0.110,0.052,0.013,0.052,0.044,0.028,0.015,0.024,0.027,0.014,0.017,0.019,0.025,0.044,0.010,0.035,0.015,0.034,0.006,0.006,0.013,0.008,0.006,0.011,0.033,0.028,0.028,0.009,0.024,0.018,0.041,0.013,0.005,0.018,0.012,0.015,0.021,0.013,0.008,0.016,0.015,0.004,0.029,0.016,0.008,0.016,0.007,0.002,0.020,0.002,0.004,0.005,0.012,0.005,0.015,0.015,0.016,0.002,0.008,0.004,0.027,
2022-03-28,00:03:00,4.613,6.056,4.683,0.219,0.901,0.932,2.643,4.695,3.165,0.101,0.185,0.269,3.492,3.182,2.804,0.050,0.043,0.014,1.200,1.662,1.516,0.008,0.020,0.015,0.185,0.594,0.112,0.054,0.044,0.030,0.374,0.637,0.664,0.044,0.017,0.027,0.265,0.065,0.208,0.020,0.041,0.018,0.035,0.104,0.241,0.038,0.029,0.011,0.022,0.113,0.188,0.136,0.149,0.106,0.240,0.238,0.259,0.103,0.082,0.062,0.128,0.040,0.021,0.052,0.037,0.020,0.053,0.035,0.083,0.048,0.026,0.038,0.100,0.038,0.076,0.091,0.069,0.010,0.195,0.080,0.126,0.239,0.026,0.176,0.284,0.018,0.237,0.125,0.007,0.099,0.086,0.048,0.047,0.015,0.029,0.007,0.070,0.035,0.034,0.013,0.013,0.012,0.037,0.020,0.040,0.016,0.003,0.013,0.041,0.019,0.037,0.006,0.010,0.009,0.013,0.017,0.032,0.022,0.021,0.019,0.024,0.005,0.034,0.008,0.006,0.005,0.013,0.011,0.018,0.003,0.005,0.004,0.016,0.005,0.018,0.009,0.006,0.011,0.007,0.010,0.020,0.005,0.003,0.009,0.008,0.007,0.025,0.018,0.012,0.006,0.006,0.004,0.025,
2022-03-28,00:04:00,4.748,5.535,4.318,0.029,0.264,0.158,3.069,4.262,2.818,0.230,0.069,0.189,3.359,2.935,2.817,0.045,0.096,0.085,1.162,1.691,1.412,0.102,0.078,0.049,0.191,0.607,0.142,0.055,0.054,0.079,0.344,0.597,0.608,0.047,0.052,0.023,0.252,0.128,0.213,0.050,0.077,0.025,0.045,0.095,0.221,0.077,0.069,0.012,0.058,0.096,0.226,0.190,0.180,0.150,0.219,0.236,0.264,0.096,0.087,0.067,0.120,0.071,0.030,0.107,0.112,0.076,0.096,0.066,0.101,0.056,0.030,0.038,0.037,0.036,0.115,0.044,0.012,0.036,0.087,0.034,0.079,0.089,0.072,0.016,0.159,0.046,0.117,0.081,0.011,0.060,0.038,0.036,0.022,0.032,0.012,0.019,0.049,0.028,0.019,0.020,0.012,0.008,0.027,0.013,0.030,0.008,0.005,0.003,0.022,0.011,0.022,0.001,0.002,0.001,0.008,0.012,0.034,0.019,0.023,0.016,0.019,0.005,0.033,0.008,0.007,0.002,0.008,0.009,0.022,0.004,0.005,0.005,0.014,0.006,0.020,0.007,0.010,0.007,0.008,0.007,0.018,0.014,0.003,0.010,0.011,0.009,0.024,0.009,0.004,0.004,0.001,0.006,0.020,
2022-03-28,00:05:00,4.409,5.042,4.260,0.511,0.979,1.196,2.595,3.736,2.752,0.058,0.169,0.142,3.239,2.694,2.629,0.054,0.047,0.076,1.214,1.616,1.339,0.073,0.061,0.110,0.202,0.433,0.103,0.032,0.071,0.076,0.398,0.470,0.383,0.060,0.098,0.050,0.157,0.034,0.221,0.051,0.046,0.072,0.020,0.133,0.148,0.043,0.131,0.094,0.210,0.142,0.087,0.199,0.139,0.147,0.154,0.171,0.136,0.059,0.051,0.043,0.104,0.060,0.022,0.082,0.061,0.071,0.154,0.116,0.133,0.060,0.062,0.010,0.106,0.019,0.058,0.076,0.081,0.046,0.133,0.117,0.077,0.108,0.023,0.120,0.107,0.128,0.165,0.067,0.027,0.073,0.062,0.061,0.092,0.021,0.019,0.043,0.061,0.058,0.038,0.028,0.055,0.021,0.049,0.017,0.047,0.033,0.007,0.033,0.032,0.018,0.023,0.010,0.009,0.007,0.013,0.004,0.031,0.004,0.016,0.008,0.024,0.008,0.027,0.012,0.007,0.009,0.012,0.015,0.020,0.008,0.009,0.011,0.019,0.009,0.016,0.008,0.002,0.009,0.009,0.006,0.024,0.006,0.015,0.016,0.015,0.004,0.018,0.008,0.009,0.008,0.004,0.009,0.015,
2022-03-28,00:06:00,4.655,5.346,4.292,0.620,1.197,0.653,2.842,3.941,2.882,0.130,0.182,0.119,3.325,2.840,2.735,0.024,0.082,0.067,1.262,1.635,1.304,0.024,0.036,0.037,0.216,0.502,0.021,0.021,0.043,0.041,0.417,0.630,0.511,0.040,0.074,0.063,0.240,0.101,0.116,0.032,0.028,0.048,0.070,0.103,0.149,0.019,0.057,0.065,0.198,0.167,0.089,0.169,0.182,0.097,0.284,0.201,0.231,0.085,0.052,0.051,0.019,0.013,0.060,0.055,0.063,0.021,0.007,0.062,0.022,0.044,0.039,0.012,0.039,0.070,0.107,0.080,0.059,0.014,0.150,0.131,0.046,0.119,0.023,0.112,0.166,0.099,0.211,0.074,0.021,0.086,0.080,0.022,0.087,0.019,0.009,0.032,0.023,0.048,0.015,0.024,0.039,0.006,0.025,0.023,0.032,0.020,0.009,0.021,0.028,0.010,0.025,0.007,0.007,0.015,0.007,0.010,0.026,0.016,0.015,0.021,0.019,0.008,0.036,0.003,0.008,0.010,0.012,0.005,0.029,0.010,0.009,0.008,0.021,0.007,0.025,0.004,0.009,0.012,0.010,0.006,0.011,0.015,0.010,0.016,0.013,0.005,0.021,0.011,0.011,0.008,0.006,0.004,0.019,
2022-03-28,00:07:00,4.601,5.331,4.404,0.307,1.161,1.033,2.939,3.975,3.004,0.113,0.120,0.115,3.252,2.809,2.681,0.075,0.134,0.080,1.214,1.670,1.321,0.033,0.042,0.032,0.141,0.373,0.120,0.014,0.010,0.013,0.431,0.562,0.453,0.007,0.047,0.043,0.141,0.059,0.159,0.025,0.074,0.034,0.024,0.072,0.147,0.061,0.092,0.063,0.197,0.176,0.105,0.142,0.124,0.053,0.068,0.061,0.078,0.058,0.031,0.065,0.096,0.043,0.036,0.088,0.031,0.083,0.113,0.111,0.088,0.043,0.039,0.041,0.093,0.014,0.095,0.013,0.010,0.008,0.058,0.031,0.071,0.076,0.013,0.059,0.096,0.053,0.091,0.016,0.023,0.006,0.046,0.019,0.047,0.021,0.013,0.021,0.058,0.019,0.040,0.036,0.029,0.030,0.037,0.034,0.030,0.018,0.016,0.012,0.037,0.020,0.025,0.006,0.002,0.002,0.015,0.009,0.030,0.018,0.017,0.014,0.018,0.002,0.028,0.009,0.005,0.005,0.005,0.011,0.020,0.004,0.008,0.006,0.020,0.003,0.023,0.006,0.006,0.007,0.008,0.006,0.021,0.009,0.008,0.009,0.009,0.005,0.019,0.011,0.007,0.002,0.003,0.007,0.017,
2022-03-28,00:08:00,5.251,6.175,5.100,0.303,0.567,0.740,4.083,5.248,3.933,0.176,0.149,0.048,3.012,2.712,2.821,0.050,0.140,0.070,1.135,1.506,1.249,0.012,0.031,0.039,0.190,0.400,0.091,0.040,0.022,0.019,0.340,0.543,0.477,0.027,0.026,0.011,0.223,0.100,0.122,0.012,0.016,0.015,0.078,0.023,0.176,0.072,0.102,0.032,0.150,0.147,0.230,0.142,0.073,0.104,0.176,0.217,0.171,0.042,0.045,0.022,0.087,0.040,0.044,0.036,0.054,0.023,0.110,0.039,0.088,0.056,0.009,0.049,0.099,0.065,0.063,0.109,0.077,0.051,0.096,0.141,0.083,0.111,0.070,0.143,0.168,0.067,0.168,0.089,0.017,0.076,0.105,0.031,0.084,0.057,0.019,0.047,0.039,0.046,0.013,0.016,0.024,0.013,0.021,0.004,0.011,0.021,0.007,0.019,0.026,0.014,0.030,0.012,0.013,0.005,0.006,0.006,0.016,0.020,0.016,0.012,0.021,0.010,0.024,0.008,0.007,0.009,0.007,0.015,0.023,0.003,0.005,0.006,0.019,0.006,0.020,0.005,0.007,0.004,0.009,0.014,0.019,0.013,0.007,0.015,0.017,0.003,0.024,0.008,0.005,0.002,0.009,0.010,0.016,
