ProductSN:3421198001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date&Time;;Voltage(V);;;;;UTHD(%);;;;Current(A);;;;;ITHD(%);;;;Frequency(Hz);;;;Power Factor;;;;Active Power(W);;;;Reactive Power(Var);;;;Apparent Power(Va);;;;Active Energy(Wh);;;;Reactive Energy(Varh);;;;Apparent Energy(Vah);;;;Current Demand(A);;;;Current Peak Demand(A)&Date;;;;;;;;Total Active Power Deamnd(W);Total Active Power Peak Deamnd(W)&Date;;Total Reactive Power Deamnd(Var);Total Reactive Power Peak Deamnd(Var)&Date;;Total Apparent Power Deamnd(Va);Total Apparent Power Peak Deamnd(Va)&Date;
Date;Time;UA;UB;UC;UAvg;UN;UTHDA;UTHDB;UTHDC;UTHDAvg;IA;IB;IC;IAvg;IN;ITHDA;ITHDB;ITHDC;ITHDAvg;FA;FB;FC;FAvg;PFA;PFB;PFC;PFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA;EPB;EPC;EPSum;EQA;EQB;EQC;EQSum;ESA;ESB;ESC;ESSum;DmIA;DmIB;DmIC;DmIAVG;PDmIA;PDmIA_D/T;PDmIB;PDmIB_D/T;PDmIC;PDmIC_D/T;PDmIAVG;PDmIAVG_D/T;DmP;PDmP;PDmP_D/T;DmQ;PDmQ;PDmQ_D/T;DmS;PDmS;PDmS_D/T
30/03/2022;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
30/03/2022;00:12:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1280;0;1308;2588;341417;466918;415370;1223705;971888;1022393;1038513;3032794;0;0;0;0;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;0;0;2000-00-00 00:00:00;0;44847.04;28/03/2022 18:55;0;91039.47;28/03/2022 18:55
