ProductSN:3421198001
Date&Time,,UTHD(%),,,UHD2(%),,,UHD3(%),,,UHD4(%),,,UHD5(%),,,UHD6(%),,,UHD7(%),,,UHD8(%),,,UHD9(%),,,UHD10(%),,,UHD11(%),,,UHD12(%),,,UHD13(%),,,UHD14(%),,,UHD15(%),,,UHD16(%),,,UHD17(%),,,UHD18(%),,,UHD19(%),,,UHD20(%),,,UHD21(%),,,UHD22(%),,,UHD23(%),,,UHD24(%),,,UHD25(%),,,UHD26(%),,,UHD27(%),,,UHD28(%),,,UHD29(%),,,UHD30(%),,,UHD31(%),,,UHD32(%),,,UHD33(%),,,UHD34(%),,,UHD35(%),,,UHD36(%),,,UHD37(%),,,UHD38(%),,,UHD39(%),,,UHD40(%),,,UHD41(%),,,UHD42(%),,,UHD43(%),,,UHD44(%),,,UHD45(%),,,UHD46(%),,,UHD47(%),,,UHD48(%),,,UHD49(%),,,UHD50(%),,,UHD51(%),,,
Date,Time,UTHDA,UTHDB,UTHDC,UHD2A,UHD2B,UHD2C,UHD3A,UHD3B,UHD3C,UHD4A,UHD4B,UHD4C,UHD5A,UHD5B,UHD5C,UHD6A,UHD6B,UHD6C,UHD7A,UHD7B,UHD7C,UHD8A,UHD8B,UHD8C,UHD9A,UHD9B,UHD9C,UHD10A,UHD10B,UHD10C,UHD11A,UHD11B,UHD11C,UHD12A,UHD12B,UHD12C,UHD13A,UHD13B,UHD13C,UHD14A,UHD14B,UHD14C,UHD15A,UHD15B,UHD15C,UHD16A,UHD16B,UHD16C,UHD17A,UHD17B,UHD17C,UHD18A,UHD18B,UHD18C,UHD19A,UHD19B,UHD19C,UHD20A,UHD20B,UHD20C,UHD21A,UHD21B,UHD21C,UHD22A,UHD22BB,UHD22C,UHD23A,UHD23B,UHD23C,UHD24A,UHD24B,UHD24C,UHD25A,UHD25B,UHD25C,UHD26A,UHD26B,UHD26C,UHD27A,UHD27B,UHD27C,UHD28A,UHD28B,UHD28C,UHD29A,UHD29B,UHD29C,UHD30A,UHD30B,UHD30C,UHD31A,UHD31B,UHD31C,UHD32A,UHD32B,UHD32C,UHD33A,UHD33B,UHD33C,UHD34A,UHD34B,UHD34C,UHD35A,UHD35B,UHD35C,UHD36A,UHD36B,UHD36C,UHD37A,UHD37B,UHD37C,UHD38A,UHD38B,UHD38C,UHD39A,UHD39B,UHD39C,UHD40A,UHD40B,UHD40C,UHD41A,UHD41B,UHD41C,UHD42A,UHD42B,UHD42C,UHD43A,UHD43B,UHD43C,UHD44A,UHD44B,UHD44C,UHD45A,UHD45B,UHD45C,UHD46A,UHD46B,UHD46CUHD47A,UHD47B,UHD47C,UHD48A,UHD48B,UHD48C,UHD49A,UHD49B,UHD49C,UHD50A,UHD50B,UHD50C,UHD51A,UHD51B,UHD51C,
2022-04-02,00:00:00,1.687,1.972,1.931,0.039,0.055,0.049,0.171,0.070,0.272,0.014,0.043,0.035,1.287,1.718,1.550,0.064,0.038,0.038,0.865,0.768,0.905,0.026,0.017,0.028,0.317,0.208,0.212,0.011,0.019,0.027,0.224,0.093,0.279,0.069,0.054,0.079,0.214,0.097,0.162,0.049,0.065,0.032,0.122,0.101,0.097,0.061,0.094,0.073,0.331,0.450,0.472,0.028,0.042,0.063,0.192,0.100,0.092,0.051,0.029,0.013,0.036,0.024,0.005,0.034,0.011,0.035,0.017,0.064,0.008,0.033,0.036,0.001,0.022,0.058,0.060,0.029,0.015,0.023,0.051,0.043,0.038,0.087,0.063,0.041,0.087,0.085,0.075,0.034,0.062,0.042,0.053,0.064,0.030,0.010,0.006,0.002,0.013,0.014,0.007,0.015,0.008,0.014,0.035,0.032,0.031,0.022,0.014,0.009,0.020,0.023,0.004,0.006,0.012,0.005,0.023,0.013,0.007,0.012,0.007,0.006,0.011,0.015,0.011,0.025,0.014,0.005,0.044,0.009,0.015,0.020,0.004,0.015,0.016,0.022,0.013,0.009,0.012,0.007,0.010,0.015,0.020,0.015,0.005,0.007,0.032,0.023,0.016,0.018,0.016,0.018,0.024,0.019,0.019,
2022-04-02,00:01:00,1.723,2.119,2.088,0.071,0.030,0.074,0.138,0.087,0.418,0.044,0.062,0.035,1.375,1.903,1.705,0.053,0.051,0.038,0.897,0.768,0.974,0.019,0.014,0.013,0.325,0.236,0.238,0.016,0.013,0.010,0.218,0.197,0.356,0.015,0.029,0.032,0.053,0.237,0.198,0.021,0.024,0.017,0.110,0.055,0.031,0.027,0.011,0.013,0.185,0.251,0.240,0.029,0.049,0.026,0.042,0.101,0.095,0.011,0.010,0.008,0.042,0.019,0.043,0.008,0.006,0.008,0.027,0.027,0.019,0.013,0.012,0.022,0.063,0.044,0.019,0.025,0.002,0.009,0.011,0.017,0.022,0.048,0.047,0.023,0.054,0.105,0.059,0.025,0.060,0.043,0.083,0.062,0.094,0.019,0.004,0.018,0.036,0.020,0.025,0.028,0.001,0.020,0.028,0.020,0.013,0.034,0.014,0.033,0.043,0.017,0.019,0.011,0.005,0.008,0.018,0.006,0.005,0.009,0.012,0.008,0.031,0.025,0.028,0.031,0.025,0.025,0.048,0.033,0.020,0.024,0.026,0.025,0.038,0.039,0.018,0.023,0.023,0.016,0.037,0.007,0.040,0.010,0.005,0.003,0.030,0.018,0.013,0.012,0.016,0.026,0.025,0.015,0.016,
2022-04-02,00:02:00,1.790,2.083,2.075,0.047,0.025,0.074,0.186,0.077,0.366,0.022,0.051,0.038,1.410,1.793,1.663,0.031,0.037,0.025,0.871,0.775,0.935,0.023,0.013,0.034,0.310,0.165,0.159,0.029,0.037,0.015,0.189,0.127,0.337,0.057,0.043,0.030,0.306,0.472,0.456,0.030,0.058,0.068,0.117,0.162,0.053,0.012,0.081,0.089,0.257,0.254,0.212,0.081,0.084,0.007,0.244,0.306,0.281,0.025,0.038,0.020,0.034,0.021,0.048,0.011,0.014,0.010,0.037,0.046,0.013,0.009,0.024,0.028,0.021,0.035,0.030,0.028,0.040,0.005,0.019,0.001,0.011,0.059,0.086,0.028,0.126,0.090,0.123,0.071,0.027,0.069,0.087,0.110,0.073,0.028,0.035,0.033,0.012,0.020,0.019,0.012,0.009,0.005,0.041,0.031,0.040,0.030,0.013,0.019,0.029,0.029,0.019,0.018,0.008,0.015,0.005,0.013,0.009,0.003,0.007,0.003,0.014,0.012,0.017,0.013,0.014,0.013,0.017,0.009,0.028,0.008,0.011,0.003,0.003,0.013,0.011,0.017,0.015,0.008,0.013,0.019,0.021,0.007,0.014,0.011,0.025,0.009,0.006,0.001,0.005,0.012,0.014,0.010,0.012,
2022-04-02,00:03:00,1.681,2.212,2.211,0.035,0.030,0.030,0.265,0.112,0.497,0.041,0.076,0.034,1.278,1.951,1.761,0.064,0.047,0.047,0.834,0.748,1.008,0.031,0.013,0.040,0.369,0.317,0.272,0.016,0.019,0.009,0.260,0.202,0.385,0.031,0.045,0.039,0.209,0.383,0.330,0.030,0.025,0.040,0.161,0.165,0.070,0.072,0.046,0.062,0.261,0.291,0.245,0.016,0.072,0.063,0.172,0.217,0.216,0.014,0.014,0.007,0.033,0.038,0.035,0.023,0.020,0.004,0.025,0.062,0.038,0.022,0.018,0.026,0.020,0.052,0.023,0.007,0.019,0.022,0.054,0.019,0.041,0.044,0.042,0.081,0.095,0.101,0.089,0.045,0.058,0.035,0.105,0.124,0.171,0.021,0.016,0.038,0.027,0.004,0.017,0.011,0.017,0.015,0.015,0.026,0.057,0.012,0.018,0.022,0.086,0.043,0.053,0.025,0.004,0.019,0.014,0.014,0.023,0.023,0.013,0.013,0.009,0.024,0.011,0.017,0.015,0.005,0.010,0.009,0.041,0.009,0.003,0.003,0.023,0.023,0.014,0.007,0.006,0.017,0.007,0.016,0.014,0.004,0.004,0.010,0.027,0.008,0.005,0.007,0.004,0.011,0.009,0.010,0.009,
2022-04-02,00:04:00,1.744,2.115,2.090,0.033,0.061,0.067,0.292,0.090,0.277,0.038,0.066,0.025,1.394,1.898,1.756,0.051,0.037,0.040,0.783,0.679,0.906,0.014,0.028,0.030,0.365,0.242,0.191,0.020,0.030,0.018,0.293,0.054,0.318,0.062,0.034,0.039,0.198,0.386,0.321,0.045,0.037,0.070,0.063,0.142,0.093,0.056,0.076,0.078,0.233,0.201,0.177,0.056,0.008,0.078,0.190,0.259,0.217,0.036,0.050,0.018,0.021,0.027,0.042,0.028,0.026,0.009,0.019,0.013,0.025,0.022,0.011,0.031,0.059,0.064,0.027,0.023,0.031,0.012,0.044,0.071,0.023,0.054,0.086,0.050,0.050,0.081,0.100,0.045,0.037,0.053,0.080,0.093,0.077,0.026,0.018,0.006,0.004,0.032,0.013,0.009,0.015,0.022,0.008,0.011,0.024,0.028,0.020,0.015,0.045,0.035,0.026,0.002,0.003,0.009,0.014,0.011,0.014,0.004,0.009,0.004,0.012,0.011,0.026,0.001,0.013,0.007,0.010,0.017,0.027,0.003,0.009,0.008,0.025,0.011,0.021,0.008,0.008,0.014,0.016,0.018,0.011,0.016,0.007,0.016,0.030,0.013,0.008,0.012,0.008,0.015,0.006,0.020,0.008,
2022-04-02,00:05:00,1.673,2.185,2.199,0.030,0.019,0.015,0.301,0.381,0.489,0.031,0.063,0.045,1.208,1.892,1.784,0.063,0.062,0.037,0.791,0.690,0.939,0.006,0.033,0.031,0.415,0.397,0.299,0.024,0.038,0.022,0.422,0.134,0.374,0.063,0.089,0.070,0.190,0.227,0.094,0.036,0.005,0.057,0.113,0.046,0.057,0.042,0.068,0.079,0.344,0.460,0.460,0.088,0.040,0.051,0.153,0.207,0.100,0.027,0.044,0.039,0.014,0.034,0.028,0.017,0.028,0.034,0.037,0.029,0.022,0.022,0.027,0.012,0.050,0.061,0.042,0.036,0.034,0.010,0.051,0.047,0.017,0.080,0.065,0.027,0.129,0.126,0.149,0.047,0.035,0.071,0.127,0.141,0.073,0.046,0.039,0.013,0.027,0.027,0.012,0.024,0.036,0.019,0.030,0.025,0.031,0.017,0.009,0.010,0.017,0.018,0.013,0.012,0.018,0.011,0.008,0.010,0.010,0.005,0.006,0.016,0.014,0.029,0.022,0.022,0.019,0.025,0.041,0.036,0.022,0.015,0.023,0.012,0.005,0.032,0.012,0.023,0.024,0.013,0.019,0.018,0.013,0.016,0.002,0.009,0.016,0.004,0.000,0.008,0.029,0.002,0.007,0.010,0.005,
2022-04-02,00:06:00,1.611,2.025,1.912,0.078,0.051,0.105,0.194,0.045,0.378,0.038,0.037,0.010,1.263,1.830,1.543,0.030,0.048,0.016,0.815,0.759,0.877,0.010,0.024,0.026,0.321,0.217,0.224,0.011,0.003,0.009,0.340,0.069,0.380,0.011,0.017,0.026,0.101,0.192,0.244,0.034,0.044,0.027,0.103,0.084,0.062,0.019,0.027,0.024,0.047,0.093,0.115,0.057,0.028,0.044,0.131,0.157,0.198,0.013,0.030,0.045,0.032,0.002,0.042,0.016,0.027,0.043,0.020,0.031,0.009,0.023,0.043,0.025,0.030,0.044,0.040,0.003,0.015,0.014,0.034,0.030,0.027,0.023,0.063,0.077,0.102,0.076,0.107,0.045,0.030,0.067,0.050,0.077,0.040,0.025,0.023,0.010,0.009,0.036,0.030,0.005,0.020,0.019,0.051,0.034,0.017,0.025,0.013,0.018,0.020,0.028,0.014,0.010,0.008,0.006,0.007,0.020,0.014,0.011,0.023,0.013,0.013,0.014,0.015,0.018,0.023,0.024,0.009,0.030,0.014,0.012,0.023,0.011,0.019,0.002,0.021,0.018,0.013,0.014,0.014,0.016,0.006,0.017,0.009,0.011,0.024,0.016,0.009,0.008,0.007,0.020,0.011,0.012,0.005,
2022-04-02,00:07:00,1.691,2.024,1.768,0.014,0.031,0.045,0.089,0.224,0.174,0.041,0.100,0.061,1.328,1.755,1.430,0.052,0.062,0.058,0.845,0.855,0.841,0.006,0.012,0.011,0.288,0.090,0.108,0.017,0.036,0.028,0.312,0.045,0.344,0.050,0.052,0.049,0.199,0.237,0.199,0.019,0.017,0.035,0.075,0.136,0.160,0.043,0.037,0.069,0.275,0.280,0.292,0.098,0.078,0.043,0.081,0.110,0.084,0.028,0.057,0.029,0.036,0.057,0.051,0.039,0.049,0.038,0.031,0.025,0.019,0.010,0.026,0.035,0.009,0.016,0.016,0.027,0.026,0.028,0.029,0.057,0.016,0.098,0.102,0.058,0.098,0.044,0.089,0.059,0.027,0.073,0.042,0.029,0.018,0.043,0.023,0.010,0.007,0.009,0.043,0.029,0.024,0.031,0.032,0.008,0.022,0.027,0.026,0.012,0.054,0.034,0.021,0.016,0.016,0.016,0.020,0.018,0.013,0.026,0.007,0.026,0.023,0.030,0.001,0.045,0.027,0.026,0.046,0.014,0.029,0.017,0.027,0.011,0.004,0.022,0.031,0.012,0.015,0.012,0.029,0.016,0.019,0.018,0.015,0.014,0.021,0.021,0.018,0.017,0.017,0.022,0.021,0.018,0.014,
2022-04-02,00:08:00,1.742,2.095,1.824,0.130,0.066,0.074,0.179,0.261,0.279,0.041,0.071,0.034,1.358,1.836,1.496,0.027,0.008,0.017,0.895,0.820,0.805,0.031,0.027,0.025,0.321,0.138,0.148,0.003,0.005,0.004,0.313,0.086,0.361,0.012,0.026,0.015,0.134,0.175,0.113,0.026,0.048,0.052,0.060,0.071,0.044,0.048,0.027,0.053,0.216,0.384,0.360,0.055,0.105,0.057,0.086,0.092,0.018,0.039,0.019,0.030,0.049,0.022,0.054,0.041,0.004,0.037,0.018,0.012,0.034,0.037,0.022,0.040,0.056,0.048,0.014,0.012,0.023,0.008,0.056,0.019,0.045,0.071,0.050,0.086,0.083,0.086,0.077,0.076,0.083,0.036,0.105,0.073,0.117,0.022,0.017,0.037,0.044,0.015,0.026,0.032,0.030,0.003,0.026,0.018,0.051,0.020,0.013,0.027,0.064,0.038,0.016,0.009,0.008,0.025,0.015,0.004,0.009,0.021,0.011,0.013,0.018,0.018,0.027,0.029,0.015,0.029,0.023,0.027,0.034,0.018,0.007,0.021,0.003,0.018,0.016,0.018,0.014,0.019,0.008,0.014,0.002,0.010,0.010,0.006,0.027,0.016,0.019,0.009,0.010,0.005,0.022,0.006,0.008,
