ProductSN:3421198001
Date&Time,,Voltage(V),,,,,UTHD(%),,,,Current(A),,,,,ITHD(%),,,,Frequency(Hz),,,,Power Factor,,,,Active Power(W),,,,Reactive Power(Var),,,,Apparent Power(Va),,,,Active Energy(Wh),,,,Reactive Energy(Varh),,,,Apparent Energy(Vah),,,,Current Demand(A),,,,Current Peak Demand(A)&Date,,,,,,,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UA,UB,UC,UAvg,UN,UTHDA,UTHDB,UTHDC,UTHDAvg,IA,IB,IC,IAvg,IN,ITHDA,ITHDB,ITHDC,ITHDAvg,FA,FB,FC,FAvg,PFA,PFB,PFC,PFTotal,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA,EPB,EPC,EPSum,EQA,EQB,EQC,EQSum,ESA,ESB,ESC,ESSum,DmIA,DmIB,DmIC,DmIAVG,PDmIA,PDmIA_D/T,PDmIB,PDmIB_D/T,PDmIC,PDmIC_D/T,PDmIAVG,PDmIAVG_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2022-04-03,00:00:00,130.17,131.56,127.75,129.83,0.00,2.483,2.852,2.801,2.712,56.18,66.32,67.09,63.20,2.75,4.892,5.027,4.517,4.812,60.02,60.01,60.01,60.01,-0.987,-0.949,-0.986,-0.972,-7220.63,-8253.87,-8447.35,-23921.86,1085.20,2662.86,1419.69,5167.74,7314.37,8717.09,8572.69,24604.15,1281,0,1308,2589,889119,1193041,1136702,3218862,2511422,2595424,2674349,7781195,55.00,68.41,64.47,62.63,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23139.72,0.00,2000-00-00 00:00:00,6536.02,44847.04,2022-03-28 18:55:52,24299.96,91039.47,2022-03-28 18:55:52,
2022-04-03,00:01:00,129.95,131.01,127.23,129.40,0.00,2.489,2.777,2.862,2.709,54.92,66.34,68.00,63.09,2.73,4.321,4.442,3.959,4.241,60.03,60.02,60.02,60.02,-0.987,-0.944,-0.986,-0.970,-7052.66,-8191.89,-8496.09,-23740.63,1048.37,2807.48,1328.02,5183.87,7137.78,8688.79,8643.62,24470.18,1281,0,1308,2589,889137,1193088,1136725,3218950,2511542,2595570,2674493,7781605,55.40,68.76,64.86,63.01,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23328.87,0.00,2000-00-00 00:00:00,6470.85,44847.04,2022-03-28 18:55:52,24457.54,91039.47,2022-03-28 18:55:52,
2022-04-03,00:02:00,129.21,130.73,126.48,128.81,0.00,2.516,2.625,2.564,2.568,55.90,64.66,67.57,62.71,2.78,5.228,5.805,4.734,5.256,59.96,59.95,59.96,59.96,-0.988,-0.944,-0.982,-0.971,-7132.08,-7973.98,-8407.20,-23513.25,961.49,2747.65,1565.76,5274.90,7221.65,8452.63,8551.08,24225.36,1281,0,1308,2589,889154,1193134,1136750,3219038,2511663,2595712,2674636,7782011,55.01,66.97,65.24,62.41,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23256.69,0.00,2000-00-00 00:00:00,5992.04,44847.04,2022-03-28 18:55:52,24224.98,91039.47,2022-03-28 18:55:52,
2022-04-03,00:03:00,129.15,130.39,126.81,128.78,0.00,2.616,2.874,2.910,2.800,54.72,66.63,68.00,63.12,2.75,4.147,4.354,4.008,4.169,59.99,59.99,59.99,59.99,-0.986,-0.942,-0.984,-0.971,-6972.80,-8188.86,-8507.43,-23669.09,1109.52,2895.35,1358.37,5363.23,7067.59,8691.78,8623.89,24383.26,1281,0,1308,2589,889170,1193181,1136774,3219125,2511781,2595854,2674779,7782414,54.78,66.06,65.45,62.10,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23213.38,0.00,2000-00-00 00:00:00,5754.82,44847.04,2022-03-28 18:55:52,24102.12,91039.47,2022-03-28 18:55:52,
2022-04-03,00:04:00,129.92,130.90,127.29,129.37,0.00,2.509,2.742,2.916,2.722,54.59,66.74,68.42,63.25,2.74,4.111,4.797,3.952,4.286,59.99,59.99,59.99,59.99,-0.988,-0.940,-0.987,-0.970,-7016.91,-8232.70,-8556.23,-23805.84,1057.03,2867.14,1290.21,5214.37,7093.68,8736.41,8699.85,24529.94,1281,0,1308,2589,889188,1193227,1136796,3219211,2511900,2595998,2674922,7782820,54.24,64.33,65.92,61.49,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23129.47,0.00,2000-00-00 00:00:00,5270.06,44847.04,2022-03-28 18:55:52,23858.58,91039.47,2022-03-28 18:55:52,
2022-04-03,00:05:00,129.32,130.36,127.31,129.00,0.00,2.434,2.827,2.900,2.720,53.97,65.08,67.97,62.34,2.90,4.354,5.082,4.571,4.669,59.98,59.98,59.98,59.98,-0.985,-0.944,-0.988,-0.973,-6863.96,-8037.73,-8563.64,-23465.33,1089.42,2767.42,1212.67,5069.51,6978.08,8491.57,8655.55,24125.20,1281,0,1308,2589,889205,1193274,1136818,3219297,2512017,2596142,2675067,7783226,54.51,64.50,66.58,61.86,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23294.94,0.00,2000-00-00 00:00:00,5208.32,44847.04,2022-03-28 18:55:52,23998.26,91039.47,2022-03-28 18:55:52,
2022-04-03,00:06:00,129.47,130.32,126.96,128.91,0.00,2.602,2.855,2.942,2.800,54.18,64.36,68.50,62.34,2.71,4.758,5.633,4.465,4.952,59.98,59.99,59.99,59.99,-0.987,-0.940,-0.988,-0.970,-6917.00,-7882.91,-8564.45,-23364.35,1015.52,2800.85,1336.45,5152.82,7013.09,8386.36,8693.71,24093.15,1281,0,1308,2589,889222,1193320,1136840,3219382,2512134,2596282,2675212,7783628,54.99,64.89,67.27,62.39,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23486.81,0.00,2000-00-00 00:00:00,5233.00,44847.04,2022-03-28 18:55:52,24192.99,91039.47,2022-03-28 18:55:52,
2022-04-03,00:07:00,129.87,130.75,126.96,129.19,0.00,2.554,2.642,2.898,2.698,54.14,63.94,69.42,62.50,2.88,4.165,5.680,4.898,4.914,60.01,60.01,60.00,60.01,-0.990,-0.939,-0.986,-0.970,-6940.26,-7860.18,-8690.80,-23491.25,891.72,2879.35,1334.05,5105.12,7028.78,8367.01,8812.22,24208.02,1281,0,1308,2589,889239,1193366,1136862,3219467,2512251,2596422,2675356,7784029,55.25,65.09,67.60,62.65,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23584.08,0.00,2000-00-00 00:00:00,5245.88,44847.04,2022-03-28 18:55:52,24291.39,91039.47,2022-03-28 18:55:52,
2022-04-03,00:08:00,129.64,130.60,126.49,128.91,0.00,2.618,2.582,2.859,2.686,54.54,64.67,68.49,62.57,2.63,3.978,4.544,3.731,4.085,60.00,60.00,60.00,60.00,-0.990,-0.940,-0.985,-0.970,-7022.33,-7925.54,-8501.32,-23449.19,935.86,2764.75,1443.74,5144.34,7072.98,8438.39,8656.68,24168.05,1281,0,1308,2589,889254,1193413,1136886,3219553,2512369,2596563,2675501,7784433,55.27,65.18,67.88,62.78,242.96,2022-03-28 18:55:52,239.85,2022-04-01 22:18:05,263.71,2022-04-01 22:19:13,246.73,2022-03-28 18:55:52,-23638.65,0.00,2000-00-00 00:00:00,5220.74,44847.04,2022-03-28 18:55:52,24341.90,91039.47,2022-03-28 18:55:52,
